clientName,retentionLevel,scheduleType,scheduleName,policyType,policyName
MYSQL01-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
MYSQL01-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
MYSQL01-UAT,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
MYSQL01-UAT,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
MYSQL02-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
MYSQL02-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
ORACLUST01,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_1
ORACLUST01,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_1
ORACLUST02,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_1
ORACLUST02,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_1
QLIKVIEW02,3,FULL,-,VMWARE,WRD_SBEC_VM_2
QLIKVIEW02,1,DIFFERENTIAL_INCREMENTAL,-,VMWARE,WRD_SBEC_VM_2
QLIKVIEW02,1,DIFFERENTIAL_INCREMENTAL,Daily,VMWARE,WRD_SBEC_VM_2
QLIKVIEW02,3,FULL,Monthly,VMWARE,WRD_SBEC_VM_2
RAMAPI,1,FULL,-,VMWARE,WRD_KSHP_VM
RAMAPI,1,FULL,Daily,VMWARE,WRD_KSHP_VM
RAMAPI,3,FULL,Weekly,VMWARE,WRD_KSHP_VM
REDIS01,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
REDIS01,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
SFTP01,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
SFTP01,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
SFTP01-UAT,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
SFTP01-UAT,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
STQC03APP07,1,FULL,-,VMWARE,WRD_STQ_VM_2
STQC03APP07,3,FULL,Weekly,VMWARE,WRD_STQ_VM_2
STQC03APP07,1,FULL,Daily,VMWARE,WRD_STQ_VM_2
STQC03APP08,3,FULL,Weekly,VMWARE,WRD_STQ_VM_2
STQC03APP08,1,FULL,Daily,VMWARE,WRD_STQ_VM_2
STQC03APP08,1,FULL,-,VMWARE,WRD_STQ_VM_2
STQC03APP09,1,FULL,Daily,VMWARE,WRD_STQ_VM_2
STQC03APP09,3,FULL,Weekly,VMWARE,WRD_STQ_VM_2
STQC03APP09,1,FULL,-,VMWARE,WRD_STQ_VM_2
STQC03DB03,1,FULL,-,VMWARE,WRD_STQ_VM_2
STQC03DB03,1,FULL,Daily,VMWARE,WRD_STQ_VM_2
STQC03DB03,3,FULL,Weekly,VMWARE,WRD_STQ_VM_2
TOMCATLAN01-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN01-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN01-UAT,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN01-UAT,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN02-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN02-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN02-UAT,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN02-UAT,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN03-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN03-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN03-UAT,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN03-UAT,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN04-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN04-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN04-UAT,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN04-UAT,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN05-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN05-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN05-UAT,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN05-UAT,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN06-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN06-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN07-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN07-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN08-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN08-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN09-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN09-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN10-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN10-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN11-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN11-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN12-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN12-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN13-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN13-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN14-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN14-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN15-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN15-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN16-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN16-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN17-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN17-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN18-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN18-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN19-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
TOMCATLAN19-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
WWW01,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
WWW01,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
WWW01-UAT,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
WWW01-UAT,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
WWW02,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
WWW02,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
WWWLAN01-PROD,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
WWWLAN01-PROD,3,FULL,Monthly,STANDARD,WRD_SBEC_FILE_Linux_2
WWWLAN01-UAT,1,DIFFERENTIAL_INCREMENTAL,Daily,STANDARD,WRD_SBEC_FILE_Linux_2
